tier,eval_set,rule,threshold,coverage,risk
tier1,deployment175,aps,0.54937,0.44,0.311688
tier1,deployment175,aps,0.546372,0.445714,0.307692
tier1,deployment175,aps,0.546032,0.451429,0.316456
tier1,deployment175,aps,0.544274,0.457143,0.3125
tier1,deployment175,aps,0.542438,0.462857,0.308642
tier1,deployment175,aps,0.541944,0.468571,0.317073
tier1,deployment175,aps,0.541827,0.474286,0.313253
tier1,deployment175,aps,0.541196,0.48,0.321429
tier1,deployment175,aps,0.539188,0.485714,0.329412
tier1,deployment175,aps,0.538345,0.491429,0.325581
tier1,deployment175,aps,0.536564,0.497143,0.321839
tier1,deployment175,aps,0.533734,0.502857,0.329545
tier1,deployment175,aps,0.529361,0.508571,0.325843
tier1,deployment175,aps,0.527862,0.514286,0.333333
tier1,deployment175,aps,0.526541,0.52,0.340659
tier1,deployment175,aps,0.526466,0.525714,0.336957
tier1,deployment175,aps,0.523939,0.531429,0.344086
tier1,deployment175,aps,0.523753,0.537143,0.351064
tier1,deployment175,aps,0.52164,0.542857,0.357895
tier1,deployment175,aps,0.520081,0.548571,0.354167
tier1,deployment175,aps,0.519315,0.554286,0.350515
tier1,deployment175,aps,0.516878,0.56,0.346939
tier1,deployment175,aps,0.516769,0.565714,0.353535
tier1,deployment175,aps,0.516654,0.571429,0.36
tier1,deployment175,aps,0.515956,0.577143,0.356436
tier1,deployment175,aps,0.515451,0.582857,0.352941
tier1,deployment175,aps,0.513217,0.588571,0.359223
tier1,deployment175,aps,0.512514,0.594286,0.355769
tier1,deployment175,aps,0.512487,0.6,0.352381
tier1,deployment175,aps,0.510384,0.605714,0.349057
tier1,deployment175,aps,0.510115,0.611429,0.35514
tier1,deployment175,aps,0.506205,0.617143,0.351852
tier1,deployment175,aps,0.506108,0.622857,0.357798
tier1,deployment175,aps,0.505623,0.628571,0.363636
tier1,deployment175,aps,0.504915,0.634286,0.369369
tier1,deployment175,aps,0.503214,0.64,0.366071
tier1,deployment175,aps,0.503188,0.645714,0.371681
tier1,deployment175,aps,0.502655,0.651429,0.377193
tier1,deployment175,aps,0.502424,0.657143,0.373913
tier1,deployment175,aps,0.494736,0.662857,0.37931
tier1,deployment175,aps,0.493979,0.668571,0.376068
tier1,deployment175,aps,0.493922,0.674286,0.381356
tier1,deployment175,aps,0.491614,0.68,0.378151
tier1,deployment175,aps,0.491244,0.685714,0.375
tier1,deployment175,aps,0.491076,0.691429,0.380165
tier1,deployment175,aps,0.490303,0.697143,0.377049
tier1,deployment175,aps,0.487039,0.702857,0.382114
tier1,deployment175,aps,0.485525,0.708571,0.387097
tier1,deployment175,aps,0.483761,0.714286,0.392
tier1,deployment175,aps,0.483556,0.72,0.388889
tier1,deployment175,aps,0.483095,0.725714,0.393701
tier1,deployment175,aps,0.482869,0.731429,0.390625
tier1,deployment175,aps,0.476022,0.737143,0.395349
tier1,deployment175,aps,0.475372,0.742857,0.4
tier1,deployment175,aps,0.47206,0.748571,0.396947
tier1,deployment175,aps,0.471613,0.754286,0.393939
tier1,deployment175,aps,0.468797,0.76,0.398496
tier1,deployment175,aps,0.464739,0.765714,0.402985
tier1,deployment175,aps,0.464548,0.771429,0.4
tier1,deployment175,aps,0.464534,0.777143,0.404412
tier1,deployment175,aps,0.46132,0.782857,0.408759
tier1,deployment175,aps,0.46114,0.788571,0.413043
tier1,deployment175,aps,0.460928,0.794286,0.417266
tier1,deployment175,aps,0.454167,0.8,0.414286
tier1,deployment175,aps,0.452725,0.805714,0.411348
tier1,deployment175,aps,0.452132,0.811429,0.415493
tier1,deployment175,aps,0.450162,0.817143,0.412587
tier1,deployment175,aps,0.449407,0.822857,0.416667
tier1,deployment175,aps,0.448288,0.828571,0.413793
tier1,deployment175,aps,0.447531,0.834286,0.410959
tier1,deployment175,aps,0.445236,0.84,0.414966
tier1,deployment175,aps,0.444035,0.845714,0.412162
tier1,deployment175,aps,0.443613,0.851429,0.416107
tier1,deployment175,aps,0.443259,0.857143,0.42
tier1,deployment175,aps,0.441933,0.862857,0.423841
tier1,deployment175,aps,0.441493,0.868571,0.421053
tier1,deployment175,aps,0.440671,0.874286,0.424837
tier1,deployment175,aps,0.438845,0.88,0.428571
tier1,deployment175,aps,0.437611,0.885714,0.425806
tier1,deployment175,aps,0.434376,0.891429,0.429487
tier1,deployment175,aps,0.433582,0.897143,0.433121
tier1,deployment175,aps,0.433186,0.902857,0.436709
tier1,deployment175,aps,0.430665,0.908571,0.440252
tier1,deployment175,aps,0.427189,0.914286,0.44375
tier1,deployment175,aps,0.425977,0.92,0.447205
tier1,deployment175,aps,0.424013,0.925714,0.450617
tier1,deployment175,aps,0.42397,0.931429,0.453988
tier1,deployment175,aps,0.423507,0.937143,0.457317
tier1,deployment175,aps,0.42288,0.942857,0.460606
tier1,deployment175,aps,0.422804,0.948571,0.463855
tier1,deployment175,aps,0.418101,0.954286,0.467066
tier1,deployment175,aps,0.413271,0.96,0.464286
tier1,deployment175,aps,0.411489,0.965714,0.467456
tier1,deployment175,aps,0.410288,0.971429,0.470588
tier1,deployment175,aps,0.409274,0.977143,0.473684
tier1,deployment175,aps,0.397495,0.982857,0.476744
tier1,deployment175,aps,0.387905,0.988571,0.473988
tier1,deployment175,aps,0.384168,0.994286,0.477011
tier1,deployment175,aps,0.360083,1.0,0.48
tier1,deployment175,confidence,0.849514,0.005714,0.0
tier1,deployment175,confidence,0.807141,0.011429,0.0
tier1,deployment175,confidence,0.806958,0.017143,0.0
tier1,deployment175,confidence,0.75503,0.022857,0.0
