signal,test,alpha,window,n_windows,count,rate,ci_low,ci_high,expected_tickets_to_alarm,contaminant,contamination,n_contaminants,reference,saturated,undefined_p
A,ks,0.05,25,2000,2000,1.0,0.998157260206594,1.0,25.0,ood,0.5,12,leave_one_out_174,True,
A,marginal_binomial,0.1,25,2000,2000,1.0,0.998157260206594,1.0,25.0,ood,0.5,12,leave_one_out_174,True,
A,conditional_binomial,0.1,25,2000,2000,1.0,0.998157260206594,1.0,25.0,ood,0.5,12,leave_one_out_174,True,
A,ks,0.1,25,2000,2000,1.0,0.998157260206594,1.0,25.0,ood,0.5,12,leave_one_out_174,True,
A,marginal_binomial,0.2,25,2000,2000,1.0,0.998157260206594,1.0,25.0,ood,0.5,12,leave_one_out_174,True,
A,conditional_binomial,0.2,25,2000,2000,1.0,0.998157260206594,1.0,25.0,ood,0.5,12,leave_one_out_174,True,
A,ks,0.2,25,2000,2000,1.0,0.998157260206594,1.0,25.0,ood,0.5,12,leave_one_out_174,True,
A,marginal_binomial,0.01,25,2000,2000,1.0,0.998157260206594,1.0,25.0,adversarial,0.5,12,leave_one_out_174,True,
A,conditional_binomial,0.01,25,2000,2000,1.0,0.998157260206594,1.0,25.0,adversarial,0.5,12,leave_one_out_174,True,
A,ks,0.01,25,2000,2000,1.0,0.998157260206594,1.0,25.0,adversarial,0.5,12,leave_one_out_174,True,
A,marginal_binomial,0.05,25,2000,2000,1.0,0.998157260206594,1.0,25.0,adversarial,0.5,12,leave_one_out_174,True,
A,conditional_binomial,0.05,25,2000,2000,1.0,0.998157260206594,1.0,25.0,adversarial,0.5,12,leave_one_out_174,True,
A,ks,0.05,25,2000,2000,1.0,0.998157260206594,1.0,25.0,adversarial,0.5,12,leave_one_out_174,True,
A,marginal_binomial,0.1,25,2000,2000,1.0,0.998157260206594,1.0,25.0,adversarial,0.5,12,leave_one_out_174,True,
A,conditional_binomial,0.1,25,2000,2000,1.0,0.998157260206594,1.0,25.0,adversarial,0.5,12,leave_one_out_174,True,
A,ks,0.1,25,2000,2000,1.0,0.998157260206594,1.0,25.0,adversarial,0.5,12,leave_one_out_174,True,
A,marginal_binomial,0.2,25,2000,2000,1.0,0.998157260206594,1.0,25.0,adversarial,0.5,12,leave_one_out_174,True,
A,conditional_binomial,0.2,25,2000,2000,1.0,0.998157260206594,1.0,25.0,adversarial,0.5,12,leave_one_out_174,True,
A,ks,0.2,25,2000,2000,1.0,0.998157260206594,1.0,25.0,adversarial,0.5,12,leave_one_out_174,True,
A,marginal_binomial,0.01,50,2000,0,0.0,0.0,0.0018427397934059364,,none,0.0,0,leave_one_out_174,False,
A,conditional_binomial,0.01,50,2000,0,0.0,0.0,0.0018427397934059364,,none,0.0,0,leave_one_out_174,False,
A,ks,0.01,50,2000,25,0.0125,0.008105230838877512,0.018397493413938,4000.0,none,0.0,0,leave_one_out_174,False,
A,marginal_binomial,0.05,50,2000,10,0.005,0.0024002197556657725,0.009175895070019778,10000.0,none,0.0,0,leave_one_out_174,False,
A,conditional_binomial,0.05,50,2000,0,0.0,0.0,0.0018427397934059364,,none,0.0,0,leave_one_out_174,False,
A,ks,0.05,50,2000,25,0.0125,0.008105230838877512,0.018397493413938,4000.0,none,0.0,0,leave_one_out_174,False,
A,marginal_binomial,0.1,50,2000,50,0.025,0.018611105676337118,0.03282777114900504,2000.0,none,0.0,0,leave_one_out_174,False,
A,conditional_binomial,0.1,50,2000,4,0.002,0.0005451931252109997,0.005112808605346209,25000.0,none,0.0,0,leave_one_out_174,False,
A,ks,0.1,50,2000,25,0.0125,0.008105230838877512,0.018397493413938,4000.0,none,0.0,0,leave_one_out_174,False,
A,marginal_binomial,0.2,50,2000,25,0.0125,0.008105230838877512,0.018397493413938,4000.0,none,0.0,0,leave_one_out_174,False,
A,conditional_binomial,0.2,50,2000,0,0.0,0.0,0.0018427397934059364,,none,0.0,0,leave_one_out_174,False,
A,ks,0.2,50,2000,25,0.0125,0.008105230838877512,0.018397493413938,4000.0,none,0.0,0,leave_one_out_174,False,
A,marginal_binomial,0.01,50,2000,468,0.234,0.2155959414487072,0.25318704227640676,213.67521367521366,benchmark,0.05,2,leave_one_out_174,False,
A,conditional_binomial,0.01,50,2000,62,0.031,0.023848362473131626,0.03956611985866993,1612.9032258064517,benchmark,0.05,2,leave_one_out_174,False,
A,ks,0.01,50,2000,36,0.018,0.012638018081131366,0.024833198161369478,2777.777777777778,benchmark,0.05,2,leave_one_out_174,False,
A,marginal_binomial,0.05,50,2000,155,0.0775,0.06615766717099253,0.09009845658893209,645.1612903225806,benchmark,0.05,2,leave_one_out_174,False,
A,conditional_binomial,0.05,50,2000,33,0.0165,0.011384358380235151,0.023094698323837825,3030.30303030303,benchmark,0.05,2,leave_one_out_174,False,
A,ks,0.05,50,2000,36,0.018,0.012638018081131366,0.024833198161369478,2777.777777777778,benchmark,0.05,2,leave_one_out_174,False,
A,marginal_binomial,0.1,50,2000,195,0.0975,0.08484675023193886,0.11134674372191586,512.8205128205128,benchmark,0.05,2,leave_one_out_174,False,
A,conditional_binomial,0.1,50,2000,15,0.0075,0.004203591756889189,0.01233998373578594,6666.666666666667,benchmark,0.05,2,leave_one_out_174,False,
A,ks,0.1,50,2000,36,0.018,0.012638018081131366,0.024833198161369478,2777.777777777778,benchmark,0.05,2,leave_one_out_174,False,
A,marginal_binomial,0.2,50,2000,61,0.0305,0.0234086863264066,0.039007752060209316,1639.344262295082,benchmark,0.05,2,leave_one_out_174,False,
A,conditional_binomial,0.2,50,2000,6,0.003,0.0011017182250253473,0.00651821860997453,16666.666666666668,benchmark,0.05,2,leave_one_out_174,False,
A,ks,0.2,50,2000,36,0.018,0.012638018081131366,0.024833198161369478,2777.777777777778,benchmark,0.05,2,leave_one_out_174,False,
A,marginal_binomial,0.01,50,2000,1557,0.7785,0.7596496175671431,0.7965303274566444,64.22607578676943,ood,0.05,2,leave_one_out_174,False,
A,conditional_binomial,0.01,50,2000,398,0.199,0.18170369445128273,0.21718323835611245,251.25628140703517,ood,0.05,2,leave_one_out_174,False,
A,ks,0.01,50,2000,38,0.019,0.013479737835558647,0.025986475638005792,2631.5789473684213,ood,0.05,2,leave_one_out_174,False,
A,marginal_binomial,0.05,50,2000,245,0.1225,0.10844232790382745,0.13767444217262625,408.16326530612247,ood,0.05,2,leave_one_out_174,False,
A,conditional_binomial,0.05,50,2000,66,0.033,0.025612223823264613,0.04179454582102009,1515.151515151515,ood,0.05,2,leave_one_out_174,False,
A,ks,0.05,50,2000,38,0.019,0.013479737835558647,0.025986475638005792,2631.5789473684213,ood,0.05,2,leave_one_out_174,False,
A,marginal_binomial,0.1,50,2000,271,0.1355,0.12079278555561587,0.15128452377998067,369.00369003690037,ood,0.05,2,leave_one_out_174,False,
A,conditional_binomial,0.1,50,2000,25,0.0125,0.008105230838877512,0.018397493413938,4000.0,ood,0.05,2,leave_one_out_174,False,
A,ks,0.1,50,2000,38,0.019,0.013479737835558647,0.025986475638005792,2631.5789473684213,ood,0.05,2,leave_one_out_174,False,
A,marginal_binomial,0.2,50,2000,104,0.052,0.04268243979733737,0.06265676793370871,961.5384615384615,ood,0.05,2,leave_one_out_174,False,
A,conditional_binomial,0.2,50,2000,17,0.0085,0.0049591350217812556,0.013574546199731806,5882.35294117647,ood,0.05,2,leave_one_out_174,False,
A,ks,0.2,50,2000,38,0.019,0.013479737835558647,0.025986475638005792,2631.5789473684213,ood,0.05,2,leave_one_out_174,False,
A,marginal_binomial,0.01,50,2000,1127,0.5635,0.5414345467495445,0.5853790113959247,88.73114463176574,adversarial,0.05,2,leave_one_out_174,False,
A,conditional_binomial,0.01,50,2000,246,0.123,0.10891641724029004,0.13819883054617335,406.5040650406504,adversarial,0.05,2,leave_one_out_174,False,
A,ks,0.01,50,2000,40,0.02,0.014325786914066904,0.02713557726865834,2500.0,adversarial,0.05,2,leave_one_out_174,False,
A,marginal_binomial,0.05,50,2000,274,0.137,0.12222092342248127,0.1528518473040617,364.963503649635,adversarial,0.05,2,leave_one_out_174,False,
